POID,NCES ID - Clean,GovSpend ID,Disrict Name,State,Competitor,PO Spend,PO Date
2861995724,1908220,73378,Council Bluffs Community School District,Iowa,Proximity Learning,"$6,570.00",2026-01-28T12:00:00.000Z
2860677869,0800001,106922,Cheyenne County School District RE-5,Colorado,Proximity Learning,"$5,526.00",2026-01-09T12:00:00.000Z
2837934521,1732370,73782,Posen-Robbins Elementary School District 143-5,Illinois,Proximity Learning,"$2,130.00",2025-12-10T12:00:00.000Z
2860677868,0800001,106922,Cheyenne County School District RE-5,Colorado,Proximity Learning,"$5,526.00",2025-12-09T12:00:00.000Z
2813075981,1706420,73576,Bloom Township High School District 206,Illinois,Proximity Learning,"$7,180.00",2025-12-04T12:00:00.000Z
2861390327,4841670,102519,Stratford Independent School District,Texas,Elevate K12,"$23,250.00",2025-12-02T12:00:00.000Z
2862734625,3700270,53549,Asheville City Schools,North Carolina,Elevate K12,"$27,900.00",2025-11-19T12:00:00.000Z
2824876183,4817640,234397,Duncanville High School,Texas,Elevate K12,"$96,788.87",2025-11-18T12:00:00.000Z
2824876184,4817640,234397,Duncanville High School,Texas,Elevate K12,"$284,288.87",2025-11-18T12:00:00.000Z
2860291649,4807710,56000,Aldine Independent School District,Texas,Elevate K12,"$1,968,954.18",2025-11-17T12:00:00.000Z
2834608870,3402250,76034,Bridgeton City School District,New Jersey,Proximity Learning,"$62,169.77",2025-11-12T12:00:00.000Z
2837934520,1732370,73782,Posen-Robbins Elementary School District 143-5,Illinois,Proximity Learning,"$2,130.00",2025-11-12T12:00:00.000Z
2860677867,0800001,106922,Cheyenne County School District RE-5,Colorado,Proximity Learning,"$5,526.00",2025-11-10T12:00:00.000Z
2777214957,4827450,78074,Liberty Independent School District,Texas,Proximity Learning,"$29,899.89",2025-11-04T12:00:00.000Z
2813075970,1706420,73576,Bloom Township High School District 206,Illinois,Proximity Learning,"$9,979.95",2025-11-03T12:00:00.000Z
2859649275,4826670,78516,Lancaster Independent School District,Texas,Elevate K12,"$250,000.00",2025-10-30T12:00:00.000Z
2858595424,0802670,57416,Burlington School District RE-6J,Colorado,Elevate K12,"$15,220.80",2025-10-30T12:00:00.000Z
2748394284,4834920,78067,Pilot Point Independent School District,Texas,Elevate K12,"$30,240.00",2025-10-20T12:00:00.000Z
2857155077,4826580,78181,Lamar Consolidated Independent School District,Texas,Proximity Learning,"$20,959.98",2025-10-17T12:00:00.000Z
