"leaid","name","state_location","city_location","Official Domain JSON","Website","Job Board JSON","Job Board","External Platform"
"1731410","Porta Community Unit School District 202","IL","Petersburg","Response","porta202.org","Response","https://www.porta202.org/job-vacancies",
"1731500","Southwestern Community Unit School District 9","IL","Brighton","Response","piasabirds.net","Response","https://www.piasabirds.net/employment/employment-opportunities",
"1731620","Pinckneyville Community High School District 101","IL","Pinckneyville","Response","pchspanthers.com","Response","https://www.k12jobspot.com/District/4416/Jobs","K12JobSpot"
"1731890","Pleasant Hill Community Unit School District 3","IL","Pleasant Hill","Response","phwolves.com","Response","https://www.phwolves.com/vnews/display.v/SEC/District%7CVacancies",
"1731920","Pleasant Plains Community Unit School District 8","IL","Pleasant Plains","Response","ppcusd8.org","Response","https://www.applitrack.com/roe51/OnlineApp/JobPostings/view.asp?embed=1&choosedistrict=true&district=805&category=All","AppliTrack"
"1908610","Davis County Community School District","IA","Bloomfield","Response","dcmustangs.com","Response","https://www.dcmustangs.com/o/davis-county-csd/page/employment",
"1908730","Decorah Community School District","IA","Decorah","Response","decorah.k12.ia.us","Response","https://www.iowaworks.gov/vosnet/default.aspx","IowaWORKS"
"1908880","Delwood Community School District","IA","Delmar","Response","delwood.k12.ia.us","Response","https://www.applitrack.com/teachiowa/OnlineApp/JobPostings/view.asp?embed=1&ApplitrackLayoutMode=condensed&ApplitrackSort=newest&choosedistrict=true&applitrackclient=37512=,%2038648=&all=1=&category=Middle+School+6%2F7=&https%3A%2F%2Fwww%2Eapplitrack%2Ecom%2Fteachiowa%2FOnlineApp%2FJobPostings%2Fview%2Easp%3FApplitrackLayoutMode%3Dcondensed%26ApplitrackSort%3Dnewest%26choosedistrict%3Dtrue%26applitrackclient%3D37512%3D%2C+38648%3D%26all%3D1%3D%26category%3DMiddle%2BSchool%2B6%252F7%3D%26AppliTrackJobId%3D11765%5F298%26AppliTrackLayoutMode%3Ddetail%26AppliTrackViewPosting%3D1","AppliTrack"
"1908910","Denison Community School District","IA","Denison","Response","denison.k12.ia.us","Response","https://www.applitrack.com/Denison/onlineapp/default.aspx","Frontline"
"1732580","Adlai E. Stevenson High School District 125","IL","Lincolnshire","Response","d125.org","Response","https://jobs.redroverk12.com/org/2408","redroverk12.com"
"1732700","Princeton High School District 500","IL","Princeton","Response","phs-il.org","Response","",
"1732770","Princeville Community Unit School District 326","IL","Princeville","Response","princeville326.org","Response","https://www.k12jobspot.com/District/4438/Jobs","K12JobSpot"
"1732830","Prophetstown-Lyndon-Tampico Community Unit School District 3","IL","Prophetstown","Response","plt3.org","Response","https://www.applitrack.com/roe47/onlineapp/jobpostings/view.asp?externaltransferform.Url=&external=external&district=43603","AppliTrack"
"1734440","Rockridge Community Unit School District 300","IL","Taylor Ridge","Response","rr300.org","Response","https://www.applitrack.com/d300/onlineapp/default.aspx","Frontline"
"1738070","Woodland Community Unit School District 5","IL","Streator","Response","woodland5.net","Response","https://www.woodland5.net/resources/vacancies",
"1725050","Mattoon Community Unit School District 2","IL","Mattoon","Response","mattoon.k12.il.us","Response","https://www.generalasp.com/mattoon/onlineapp/default.aspx?all=1","Frontline"
"1740070","Valley View Community Unit School District 365U","IL","Romeoville","Response","vvsd.org","Response","https://www.applitrack.com/d365/onlineapp/default.aspx","Frontline"
"1740080","Valmeyer Community Unit School District 3","IL","Valmeyer","Response","valmeyerk12.org","Response","https://www.valmeyerk12.org/en-US/jobs-dcab526e",
"1727960","New Athens Community Unit School District 60","IL","New Athens","Response","na60.org","Response","https://www.applitrack.com/stclair/onlineapp/jobpostings/view.asp?ref=FacebookPageTab&choosedistrict=true&applitrackclient=0.321&all=1","AppliTrack"
"1743890","Zion-Benton Township High School District 126","IL","Zion","Response","zb126.org","Response","https://www.applitrack.com/D126/onlineapp/default.aspx","AppliTrack"
"1729790","O'Fallon Township High School District 203","IL","O Fallon","Response","oths.us","Response","https://www.applitrack.com/oths/onlineapp/default.aspx","AppliTrack"
"1730510","Community Consolidated School District 180","IL","Burr Ridge","Response","ccsd180.org","Response","https://www.applitrack.com/ccsd180/onlineapp/","Frontline"
"1730540","Northwestern Community Unit School District 2","IL","Palmyra","Response","northwestern.k12.il.us","Response","https://www.northwestern.k12.il.us/vnews/display.v/SEC/District%7CEmployment%20Opportunities",
"1730900","General George Patton School District 133","IL","Riverdale","Response","district133.org","Response","https://www.generalasp.com/scook/onlineapp/default.aspx","Frontline"
"0406930","Redington Elementary District","AZ","","Response",,,,
"3605310","Brewster Central School District","NY","BREWSTER","Response","brewsterschools.org","Response","https://olasjobs.org/brewster-csd","OLAS"
"1733210","Rantoul City School District 137","IL","Rantoul","Response","rcs137.org","Response","https://rcs137.tedk12.com/hire","PowerSchool"
