Agency NCES ID,Competitor,PO Number,PO Amount,Agency,Agency City,Agency State,PO Signed Date,Fiscal Year
4206060,Educere,TRN:AP1810700023,"$2,495",Clarion Area School District,Clarion,Pennsylvania,01/06/2026,FY26
4218510,Educere,VEN:26138 DT:12/22/2025,"$1,249",Parkland School District,Allentown,Pennsylvania,12/22/2025,FY26
4200101,Educere,PO003865,"$1,497",Avon Grove Charter School,West Grove,Pennsylvania,12/02/2025,FY26
2632310,Educere,P2600920,"$2,998",Southfield Public School District,Southfield,Michigan,11/24/2025,FY26
2507050,Educere,26310094,"$11,063",Ludlow School District,Ludlow,Massachusetts,11/20/2025,FY26
3409330,Educere,602173,"$4,230",Mahwah Township School District,Mahwah,New Jersey,11/20/2025,FY26
3409330,Educere,602174,"$2,745",Mahwah Township School District,Mahwah,New Jersey,11/20/2025,FY26
3401950,Educere,601154,"$1,497",Boonton Town School District,Boonton,New Jersey,11/19/2025,FY26
4200101,Educere,PO003845,"$1,996",Avon Grove Charter School,West Grove,Pennsylvania,11/19/2025,FY26
4216020,Educere,PMT:LE1752800003,"$4,967",Mount Union Area School District,Mount Union,Pennsylvania,11/17/2025,FY26
3411430,Educere,VEN:N685 DT:11/13/2025 CHK:028510,"$3,927",North Arlington Borough School District,North Arlington,New Jersey,11/13/2025,FY26
,Educere,260615,"$5,000",Town of Shrewsbury,Shrewsbury,Massachusetts,11/12/2025,FY26
4218510,Educere,VEN:26138 DT:11/11/2025,"$1,373",Parkland School District,Allentown,Pennsylvania,11/11/2025,FY26
4216020,Educere,PMT:AP1753000011,"$1,298",Mount Union Area School District,Mount Union,Pennsylvania,11/07/2025,FY26
2505740,Educere,26100675,"$3,890",Hampshire School District,Westhampton,Massachusetts,11/06/2025,FY26
4206060,Educere,TRN:AP1790300011,"$1,992",Clarion Area School District,Clarion,Pennsylvania,11/04/2025,FY26
4200101,Educere,PO003767,"$10,501",Avon Grove Charter School,West Grove,Pennsylvania,11/03/2025,FY26
4204920,Educere,2600000144,"$1,497",Canton Area School District,Canton,Pennsylvania,11/03/2025,FY26
3412510,Educere,601674,"$3,493",Pascack Valley Regional School District,Montvale,New Jersey,11/03/2025,FY26
,Educere,PO:26-HS-089 DT:10/30/25,"$1,294",Town of Milton,Milton,Massachusetts,10/30/2025,FY26
3405880,Educere,600802,"$4,990",Glassboro Borough School District,Glassboro,New Jersey,10/24/2025,FY26
1740800,Educere,DT:10/21/2025 CHK:361347,"$2,993",Warren Township High School District 121,Gurnee,Illinois,10/21/2025,FY26
,Educere,262872,"$30,000",City of Beverly,Beverly,Massachusetts,10/21/2025,FY26
4205340,Educere,DT:10/21/2025 TRN:AP0961000142,"$2,499",Central Cambria School District,Ebensburg,Pennsylvania,10/21/2025,FY26
4205340,Educere,DT:10/21/2025 TRN:AP0961000143,"$9,996",Central Cambria School District,Ebensburg,Pennsylvania,10/21/2025,FY26
1740800,Educere,VEN:EDUCERE LLC DT:10/21/2025,"$2,993",Warren Township High School District 121,Gurnee,Illinois,10/21/2025,FY26
1730160,Educere,DT:10/20/2025 CHK:50953,"$2,643",Oregon Community Unit School District 220,Oregon,Illinois,10/20/2025,FY26
4225230,Educere,OSA24214,"$12,495",West Branch Area School District,Morrisdale,Pennsylvania,10/16/2025,FY26
2508580,Educere,PO:20260626 DT:10/10/2025 DOC:103009,"$8,164",Newburyport School District,Newburyport,Massachusetts,10/10/2025,FY26
1713410,Educere,VEN:EDUCERE LLC DT:10/09/2025,"$14,199",Edinburg Community Unit School District 4,Edinburg,Illinois,10/09/2025,FY26
4205730,Educere,PO:25260167 DT:10/03/2025,"$4,998",Chartiers-Houston School District,Houston,Pennsylvania,10/03/2025,FY26
4218510,Educere,VEN:26138 DT:09/30/2025,"$6,523",Parkland School District,Allentown,Pennsylvania,09/30/2025,FY26
2632310,Educere,P2600511,"$14,990",Southfield Public School District,Southfield,Michigan,09/28/2025,FY26
3409330,Educere,601742,"$3,317",Mahwah Township School District,Mahwah,New Jersey,09/26/2025,FY26
4205730,Educere,PO:25260167 DT:09/26/2025,"$12,495",Chartiers-Houston School District,Houston,Pennsylvania,09/26/2025,FY26
3407230,Educere,26-02603,"$9,000",Hillsborough Township School District,Hillsborough,New Jersey,09/19/2025,FY26
3905022,Educere,2609059,"$1,000",McDonald Local School District,Mc Donald,Ohio,09/18/2025,FY26
,Educere,PO:26-HS-059 DT:09/18/25,"$1,294",Town of Milton,Milton,Massachusetts,09/18/2025,FY26
2501710,Educere,46150121,"$1,600",Acton-Boxborough Regional School District,Acton,Massachusetts,09/15/2025,FY26
3413350,Educere,601036,"$2,795",Pompton Lakes Borough School District,Pompton Lakes,New Jersey,09/15/2025,FY26
3411430,Educere,VEN:N685 DT:09/15/2025 CHK:027994,"$1,488",North Arlington Borough School District,North Arlington,New Jersey,09/15/2025,FY26
4216020,Educere,2600000283,"$4,997",Mount Union Area School District,Mount Union,Pennsylvania,09/12/2025,FY26
4218120,Educere,VEN:05128 DT:09/12/2025,"$1,470",Old Forge School District,Old Forge,Pennsylvania,09/12/2025,FY26
4221490,Educere,2600000229,"$12,495",Shenandoah Valley School District,Shenandoah,Pennsylvania,09/11/2025,FY26
3412420,Educere,600940,"$5,000",Paramus Borough School District,Paramus,New Jersey,09/11/2025,FY26
3412420,Educere,601010,"$8,460",Paramus Borough School District,Paramus,New Jersey,09/10/2025,FY26
2506990,Educere,20260931,"$9,700",Longmeadow School District,Longmeadow,Massachusetts,09/09/2025,FY26
2501710,Educere,46050146,"$1,000",Acton-Boxborough Regional School District,Acton,Massachusetts,09/04/2025,FY26
4225230,Educere,OSA24183,"$12,495",West Branch Area School District,Morrisdale,Pennsylvania,09/04/2025,FY26
4225230,Educere,OSA24187,"$17,493",West Branch Area School District,Morrisdale,Pennsylvania,09/04/2025,FY26
5517130,Educere,2022600003,"$2,998",Wonewoc-Union Center School District,Wonewoc,Wisconsin,09/03/2025,FY26
3409090,Educere,2600429,"$40,000",Lower Cape May Regional School District,Cape May,New Jersey,09/01/2025,FY26
5307320,Educere,PG260061,"$5,000",Richland School District,West Richland,Washington,09/01/2025,FY26
3402910,Educere,26A-1081,"$1,497",Central Regional School District,Bayville,New Jersey,09/01/2025,FY26
3402910,Educere,26A-1167,"$3,977",Central Regional School District,Bayville,New Jersey,09/01/2025,FY26
,Educere,VEN:Educere LLC DT:08/31/2025,"$1,196",Monticello Middle School,Monticello,Illinois,08/31/2025,FY26
4205730,Educere,DT:08/31/2025 CHK:00026892,"$5,140",Chartiers-Houston School District,Houston,Pennsylvania,08/31/2025,FY26
1726550,Educere,VEN:Educere LLC DT:08/31/2025,"$1,196",Monticello Community Unit School District 25,Monticello,Illinois,08/31/2025,FY26
5517130,Educere,2022600002,"$2,998",Wonewoc-Union Center School District,Wonewoc,Wisconsin,08/29/2025,FY26
3404560,Educere,601141,"$1,248",Egg Harbor Township School District,Egg Harbor Township,New Jersey,08/28/2025,FY26
5517130,Educere,2022600001,"$5,996",Wonewoc-Union Center School District,Wonewoc,Wisconsin,08/27/2025,FY26
