Account,Contract: NCES ID,Contract: Opportunity,LMS Opp ID,Contract: Contract Owner,Contract #,Subscription: Subscription #,Net Price,Quantity,Net Total,Product,Product Type,Sub Product,Course Name,Curriculum Provider,School (Account),Grade,Office Hours,CC/Teacher Collaboration Meetings,Start Date,Delivery End Date,Subscription: Created Date,Contract: Created Date
21St Century Charter School of Gary,180004602162,GEO21stCenturyCharterSchoolatGary_Tier1_Renewal_FY26,17592317686531,Lauren Kleist,509,SUB-0005591,"$12,401.15",-1,"-$12,401.15",61-75 min 3DaysStandard Full Year,Enrichment,"College, Career & Technology - CCT",ACT and SAT Prep (semester),Elevate Curriculum,21St Century Charter School of Gary,11,,,12/12/2025,5/29/2026,1/5/2026,7/28/2025
21St Century Charter School of Gary,180004602162,GEO21stCenturyCharterSchoolatGary_Tier1_Renewal_FY26,17592317686531,Lauren Kleist,509,SUB-0004265,"$12,401.15",4,"$49,604.60",61-75 min 3DaysStandard Full Year,Enrichment,"College, Career & Technology - CCT",ACT and SAT Prep (semester),Elevate Curriculum,21St Century Charter School of Gary,11,,,8/11/2025,5/29/2026,7/28/2025,7/28/2025
21St Century Charter School of Gary,180004602162,GEO21stCenturyCharterSchoolatGary_Tier1_Renewal_FY26,17592317686531,Lauren Kleist,509,SUB-0004264,"$12,401.15",4,"$49,604.60",61-75 min 3DaysStandard Full Year,Enrichment,"College, Career & Technology - CCT",ACT and SAT Prep (semester),Elevate Curriculum,21St Century Charter School of Gary,10,,,8/11/2025,5/29/2026,7/28/2025,7/28/2025
21St Century Charter School of Gary,180004602162,GEO21stCenturyCharterSchoolatGary_Tier1_Renewal_FY26,17592317686531,Lauren Kleist,509,SUB-0004263,"$12,401.15",4,"$49,604.60",61-75 min 3DaysStandard Full Year,Enrichment,"College, Career & Technology - CCT",ACT and SAT Prep (semester),Elevate Curriculum,21St Century Charter School of Gary,9,,,8/11/2025,5/29/2026,7/28/2025,7/28/2025
Acton-Boxborough Regional Schools,2501710,Acton-Boxborough Regional Schools_Tier 1_New Business_FY26,17592317690388,Phil Dugliss,577,SUB-0005831,"$6,962.03",1,"$6,962.03",45-60 min 5DaysStandard Semester,Tier 1,World Languages,Spanish II,Elevate Curriculum,Acton-Boxborough Regional High School,10,,,2/23/2026,6/18/2026,2/17/2026,2/13/2026
Acton-Boxborough Regional Schools,2501710,Acton-Boxborough Regional Schools_Tier 1_New Business_FY26,17592317690388,Phil Dugliss,577,SUB-0005830,"$6,962.03",1,"$6,962.03",45-60 min 5DaysStandard Semester,Tier 1,World Languages,Spanish I,Elevate Curriculum,Acton-Boxborough Regional High School,9,,,2/23/2026,6/26/2026,2/17/2026,2/13/2026
Acton-Boxborough Regional Schools,2501710,Acton-Boxborough Regional Schools_Tier 1_New Business_FY26,17592317690388,Phil Dugliss,577,SUB-0005789,"$6,962.00",1,"$6,962.00",45-60 min 5DaysStandard Semester,Tier 1,World Languages,Spanish II,Elevate Curriculum,Acton-Boxborough Regional High School,10,,,2/23/2026,6/18/2026,2/13/2026,2/13/2026
Acton-Boxborough Regional Schools,2501710,Acton-Boxborough Regional Schools_Tier 1_New Business_FY26,17592317690388,Phil Dugliss,577,SUB-0005788,"$6,962.00",1,"$6,962.00",45-60 min 5DaysStandard Semester,Tier 1,World Languages,Spanish II,Elevate Curriculum,Acton-Boxborough Regional High School,10,,,2/23/2026,6/18/2026,2/13/2026,2/13/2026
Acton-Boxborough Regional Schools,2501710,Acton-Boxborough Regional Schools_Tier 1_New Business_FY26,17592317690388,Phil Dugliss,577,SUB-0005787,"$6,962.00",1,"$6,962.00",45-60 min 5DaysStandard Semester,Tier 1,World Languages,Spanish I,Elevate Curriculum,Acton-Boxborough Regional High School,9,,,2/23/2026,6/26/2026,2/13/2026,2/13/2026
Aldine Independent School District,4807710,Aldine ISD_Tier 1_Renewal_FY26,17592317685786,Liz Winnen,476,SUB-0005156,"$9,816.66",2,"$19,633.32",45-60 min 5DaysStandard Full Year,Tier 1,Core Subjects - ELA,ELA 10,HMH: Into Literature,Knippel Education Center,10,,2,11/12/2025,5/22/2026,10/23/2025,6/25/2025
