,,,,,,"$67,677,942.08","$27,680,666.65","$1,716,620.53","$7,041,752.33","$31,238,902.57","$38,099,573.99",,,
Account,LEA ID,State,Territory Plan Name,Territory Plan Fiscal Year,Distroct Owner,Company,Renewal Target,Expansion Target,Win Back Target,New Business Target,FY27 Open Pipeline,,,
21St Century Charter School of Gary,1800046,IN,Indiana 2027,2027,Lauren Kleist,EK12,"$148,813.80","$32,000.00",$0.00,$0.00,"$148,813.80",,,
A+ Academy Secondary,4800203,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$3,000.00",$0.00,,,
Abbeville County School District,4500690,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$10,000.00","$10,000.00",,,
Aberdeen School District,4602070,SD,South Dakota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$100,000",$0.00,,,
Academy of Accelerated Learning,4800032,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$26,000.00",$0.00,,,
ACE Charter,0601561,CA,California 2027,2027,,EK12,$0.00,$0.00,"$88,456.00",$0.00,$0.00,,,
Acton-Boxborough Regional Schools,2501710,MA,Massachusettes 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$10,849.98","$20,886.00",,,
Addison Central School District,3602370,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$4,080.00",$0.00,,,
Alamance-Burlington Schools,3700030,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$19,440.00",$0.00,$0.00,,,
Albuquerque Public Schools,3500060,NM,New Mexico 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Aldine Independent School District,4807710,TX,Texas 2027,2027,Liz Winnen,EK12,"$1,080,674.00","$100,000.00",$0.00,$0.00,"$825,000.00",,,
Alexandria City Public Schools,5100120,VA,Virginia 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$60,000.00",$0.00,,,
Alexandria Community School Corporation,1800120,IN,Indiana 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$9,552.00",$0.00,,,
