group_name,state,valid_district_id,valid_nces_id,valid_opp_count,valid_opp_revenue,valid_school_count,valid_session_count,valid_session_revenue,valid_course_count,orphaned_district_id,orphaned_opp_count,orphaned_opp_revenue,orphaned_school_count,orphaned_session_count,orphaned_course_count,combined_revenue,action
RICHLAND SCHOOL DISTRICT TWO,SC,17592236333690,4503390,148,16951842.34,47,29886,1690219.82,1620,17592192005474,66,9964290.37,0,0,0,28606352.53,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
COLLETON COUNTY SCHOOL DISTRICT,SC,17592246331803,4501830,32,9333130.28,20,7940,1420046.11,197,17592239003676,20,6299956.18,0,0,0,17053132.57,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
RICHLAND COUNTY SCHOOL DISTRICT 1,SC,17592246333666,17592246333666 ,66,9209123.49,52,887,225669.32,38,17592239032948,5,3970100,0,0,0,13404892.8,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BARSTOW UNIFIED SCHOOL DISTRICT,CA,17592246405202,604020,5,6484397.5,15,4863,1793643.44,62,17592246404970,2,1696000,0,0,0,9974040.94,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BROWNING PUBLIC SCHOOLS,MT,17592246331624,3005190,33,5180141.79,5,5949,1319501.26,120,17592188329786,26,2860667.47,0,0,0,9360310.53,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SUMTER SCHOOL DISTRICT,SC,17592236333656,123456,28,5013177.98,39,5215,325957.59,389,17592188843779,18,3284231.29,0,0,0,8623366.86,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ENLARGED CITY SCHOOL DISTRICT OF MIDDLETOWN,NY,17592297177422,3619320,34,4489525.91,7,48721,1654254.92,2316,17592191515703,25,1786550,0,0,0,7930330.83,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),NY,17592297177482,3627810,40,7465046,15,1205,188313.6,44,17592193635420,6,107834,0,0,0,7761193.6,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
YUBA CITY UNIFIED SCHOOL DISTRICT,CA,17592236331441,643170 ,15,3608329.73,37,32465,1239443.21,1779,17592192382526,11,2092890,0,0,0,6940662.94,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BERKELEY COUNTY SCHOOL DISTRICT 01,SC,17592283490004,4501170,6,5500000,47,2024,676207.26,16,17592283312101,2,350000,0,0,0,6526207.26,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ELMSFORD SCHOOL DISTRICT,NY,17592297177572,17592246332062,19,3198377.78,4,3470,232743.95,227,17592190455786,13,2822350,0,0,0,6253471.74,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CHESTER COUNTY SCHOOL DISTRICT,SC,17592246331776,4501530,11,2821652,20,1145,322911.29,31,17592238970244,9,1924467,0,0,0,5069030.29,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NORTH SYRACUSE SCHOOL DISTRICT,NY,17592297177401,3621210 ,15,2594639.51,13,3890,637618.06,755,17592191469037,9,1797830.5,0,0,0,5030088.08,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
FLORENCE DISTRICT 3,SC,17592246333522,17592246333522,34,2530100.74,12,188,347.37,39,17592188843463,34,2362077.47,0,0,0,4892525.58,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HOUSTON INDEPENDENT SCHOOL DISTRICT,TX,17592246330237,4823640,19,2286055,33,693,7166.38,64,17592226799341,19,2286055,0,0,0,4579276.38,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
