group_name,state,valid_district_id,valid_nces_id,valid_opp_count,valid_opp_revenue,valid_school_count,valid_session_count,valid_session_revenue,valid_course_count,orphaned_district_id,orphaned_opp_count,orphaned_opp_revenue,orphaned_school_count,orphaned_session_count,orphaned_course_count,combined_revenue,action
SHERMAN INDEPENDENT SCHOOL DISTRICT,TX,17592296969802,4840080,0,0,17,0,0,0,17592284310179,2,3900000,1,0,0,3900000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CLEVELAND ISD,TX,17592295358524,4814370,0,0,11,0,0,0,17592191769649,6,3425682.5,1,0,0,3425682.5,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WESTERN SUFFOLK BOCES (SUFFOLK 3) (DISTRICT),NY,17592295309829,3680860,0,0,1,0,0,0,17592193639838,1,3000000,1,0,0,3000000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SUTTER COUNTY SUPERINTENDENT OF SCHOOLS,CA,17592296950979,691042,3,700000,3,0,0,0,17592257671670,5,592139.73,1,0,0,1292139.73,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BURLESON INDEPENDENT SCHOOL DISTRICT,TX,17592295229103,4812180,0,0,19,0,0,0,17592284311157,1,1253700,1,0,0,1253700,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LEGACY PREPARATORY,TX,17592295372811,4801428,0,0,2,0,0,0,17592188843694,2,859680,1,0,0,859680,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
UPLIFT EDUCATION,TX,17592295269334,4800030,0,0,44,0,0,0,17592284310243,2,843980,1,0,0,843980,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
JOHNSTON COUNTY PUBLIC SCHOOLS,NC,17592296951145,3702370,0,0,46,0,0,0,17592284312111,1,750000,1,0,0,750000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GANADO ISD,TX,17592295300652,4820310,0,0,3,0,0,0,17592284311423,2,692370,1,0,0,692370,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SANTA FE INDEPENDENT SCHOOL DISTRICT,TX,17592295324599,4839270,0,0,7,0,0,0,17592284310932,1,670000,1,0,0,670000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GWINNETT COUNTY PUBLIC SCHOOLS,GA,17592296962651,1302550,0,0,141,167,625,100,17592191142284,6,644569.25,1,0,0,645194.25,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
DAYTON PUBLIC SCHOOLS,OH,17592296947438,3904384,0,0,29,0,0,0,17592284312964,3,560617,1,0,0,560617,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HALLSVILLE INDEPENDENT SCHOOL DISTRICT,TX,17592295248569,4822170,0,0,9,0,0,0,17592284311173,3,548050,1,0,0,548050,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CORPUS CHRISTI ISD,TX,17592295290991,4815270,0,0,58,0,0,0,17592186958560,4,535000,1,0,0,535000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LEXINGTON DISTRICT 2,SC,17592295291209,4502730,0,0,14,0,0,3,17592284311449,4,511475,1,0,0,511475,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LEANDER INDEPENDENT SCHOOL DISTRICT,TX,17592295249187,4827030,0,0,48,0,0,0,17592284312028,1,500000,1,0,0,500000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CYPRESS-FAIRBANKS INDEPENDENT SCHOOL DISTRICT,TX,17592296964775,4816110,0,0,86,0,0,0,17592284314823,1,500000,1,0,0,500000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HURST-EULESS-BEDFORD INDEPENDENT SCHOOL DISTRICT,TX,17592295226214,4824060,0,0,34,0,0,0,17592284317845,1,500000,1,0,0,500000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
FAIRFIELD COUNTY SCHOOL DISTRICT 01,SC,17592295267492,4502100,0,0,9,0,0,0,17592284311345,5,440221.6,1,0,0,440221.6,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LEE COUNTY SCHOOLS,NC,17592296951171,3702560,0,0,16,0,0,0,17592284311333,2,438144,1,0,0,438144,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LONGVIEW INDEPENDENT SCHOOL DISTRICT,TX,17592295230493,4828110,0,0,15,0,0,0,17592284310255,3,428600,1,0,0,428600,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
EASTERN SUFFOLK BOCES,NY,17592238766952,3680820,13,338983.61,12,3040,75617.27,148,17592188518852,4,2500,1,0,0,417100.88,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
THE VARNETT PUBLIC SCHOOL,TX,17592295323809,4800073,0,0,4,0,0,0,17592284311464,2,410000,1,0,0,410000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MARIN COUNTY OFFICE OF EDUCATION,CA,17592295303332,691018,0,0,3,0,0,0,17592284315317,2,400000,1,0,0,400000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
DAYTON INDEPENDENT SCHOOL DISTRICT,TX,17592295201443,4816410,0,0,7,0,0,0,17592284319107,1,400000,1,0,0,400000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HICKSVILLE SCHOOL DISTRICT,NY,17592295229713,3614340,0,0,8,0,0,0,17592191955120,11,399263,1,0,0,399263,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LOWER KUSKOKWIM SCHOOL DISTRICT,AK,17592296960376,200001,0,0,48,0,0,0,17592284311870,2,391120,1,0,0,391120,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ALDINE INDEPENDENT SCHOOL DISTRICT,TX,17592296963042,4807710,0,0,91,0,0,0,17592284310358,4,391000,1,0,0,391000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PALO ALTO COLLEGE,TX,17592296960397,246354,0,0,1,30,0,100,17592188843743,14,379517,1,0,0,379517,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ANSON COUNTY SCHOOLS,NC,17592295259259,3700180,0,0,10,0,0,0,17592284312255,1,375000,1,0,0,375000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
DORCHESTER COUNTY SCHOOL DISTRICT 02,SC,17592296976549,4502010,0,0,24,0,0,0,17592284311101,5,364737.27,1,0,0,364737.27,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
JACKSON COUNTY PUBLIC SCHOOLS,FL,17592296984677,1200960,0,0,21,0,0,0,17592284312768,1,350000,1,0,0,350000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NEW YORK STATE OFFICE OF CHILDREN AND FAMILY SERVICES,NY,17592295344972,3600131,1,92910.6,3,0,0,0,17592284311545,2,250000,1,0,0,342910.6,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MT. DIABLO UNIFIED SCHOOL DISTRICT,CA,17592295227725,626370,0,0,55,0,0,0,17592284312266,2,300000,1,0,0,300000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,MD,17592295282252,2400510,0,0,210,0,0,0,17592284313381,2,300000,1,0,0,300000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
DUNCANVILLE INDEPENDENT SCHOOL,TX,17592296965061,4817640,0,0,18,0,0,0,17592284311355,1,300000,1,0,0,300000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ENVIRONMENTAL CHARTER HIGH SCHOOL - LAWNDALE (DISTRICT),CA,17592296970358,602076,0,0,1,0,0,0,17592284311446,1,300000,1,0,0,300000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
VIRGINIA BEACH CITY PUBLIC SCHOOLS,VA,17592295358250,5103840,0,0,87,0,0,0,17592284311605,1,300000,1,0,0,300000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MODESTO CITY SCHOOLS,CA,17592296946151,601330,0,0,2,0,0,0,17592284316493,1,300000,1,0,0,300000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SPARTANBURG COUNTY SCHOOL DISTRICT 05,SC,17592296961999,4503600,0,0,12,0,0,0,17592284310805,4,275000,1,0,0,275000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BARNWELL COUNTY CONSOLIDATED SCHOOL DISTRICT,SC,17592295297928,4501050,0,0,6,0,0,0,17592284312092,3,265000,1,0,0,265000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
TERRELL ISD,TX,17592296970287,4842450,0,0,9,0,0,0,17592284314526,2,262800,1,0,0,262800,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
FOLSOM-CORDOVA UNIFIED SCHOOL DISTRICT,CA,17592296970743,613890,0,0,37,0,0,7,17592284311523,4,257550,1,0,0,257550,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
YORK COUNTY ROCK HILL SCHOOL DISTRICT 03,SC,17592295365216,4503870,0,0,26,0,0,0,17592284312806,2,255000,1,0,0,255000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HAGERMAN MUNICIPAL SCHOOLS,NM,17592296981431,3501200,0,0,3,0,0,0,17592284316206,1,251114,1,0,0,251114,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NORTHAMPTON COUNTY SCHOOLS,NC,17592296951268,3703420,0,0,7,0,0,0,17592284311874,2,250000,1,0,0,250000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WICHITA FALLS INDEPENDENT SCHOOL DISTRICT,TX,17592295215623,4845780,0,0,31,0,0,0,17592284310541,1,250000,1,0,0,250000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HARFORD COUNTY PUBLIC SCHOOLS,MD,17592295322966,2400390,0,0,54,0,0,0,17592284315065,1,250000,1,0,0,250000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CLOVIS MUNICIPAL SCHOOLS,NM,17592296981343,3500570,0,0,18,0,0,2,17592284312032,3,241544.23,1,0,0,241544.23,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NEWTON-CONOVER CITY SCHOOLS,NC,17592296950793,3703360,0,0,7,0,0,0,17592284313959,1,240000,1,0,0,240000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NOTTOWAY COUNTY PUBLIC SCHOOLS,VA,17592295218700,5102790,4,208250,6,38,2625,20,17592284311968,1,25000,1,0,0,235875,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LA GRANGE INDEPENDENT SCHOOL DISTRICT,TX,17592295206608,4826100,0,0,3,0,0,0,17592188843684,4,233400,1,0,0,233400,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
DURHAM PUBLIC SCHOOLS,NC,17592295216726,3701260,0,0,54,0,0,0,17592284312310,2,230000,1,0,0,230000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LAKE HAVASU UNIFIED DISTRICT,AZ,17592295297094,0404280,1,119999.97,9,92,50103.2,1,17592294784215,1,57200.64,1,0,0,227303.81,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
YORK SCHOOL DISTRICT 01,SC,17592295194400,4503810,0,0,10,0,0,0,17592284313073,1,225000,1,0,0,225000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
TRINITY ALPS UNIFIED,CA,17592296951434,601331,0,0,5,0,0,0,17592284931775,1,225000,1,0,0,225000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ONEIDA-HERKIMER-MADISON BOCES,NY,17592296960098,3680560,0,0,1,0,0,0,17592284311608,1,216000,1,0,0,216000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
