group_name,state,district_id,district_name,nces_id,exists_in_index,is_orphaned,has_nces,opp_count,opp_revenue,school_count,session_count,session_revenue,course_count,total_revenue,notes
BEEKMANTOWN SCHOOL DISTRICT,NY,17592188527114,Beekmantown School District,,False,True,False,4,1239125,0,0,0,0,1239125,Non-canonical pattern -- needs manual review to determine correct merge target
HAZELWOOD SCHOOL DISTRICT,MO,17592284310843,Hazelwood School District,,False,True,False,2,825000,0,0,0,0,825000,Non-canonical pattern -- needs manual review to determine correct merge target
KIPP KANSAS CITY,MO,17592284895058,Kipp Kansas City,,False,True,False,1,800000,1,0,0,0,800000,Non-canonical pattern -- needs manual review to determine correct merge target
DARLINGTON COUNTY SCHOOL DISTRICT,SC,17592246426163,Darlington County School District,,True,False,False,5,699200,20,0,0,0,699200,Non-canonical pattern -- needs manual review to determine correct merge target
DARLINGTON COUNTY SCHOOL DISTRICT,SC,17592246426135,Darlington County School District,,False,True,False,5,699200,0,0,0,0,699200,Non-canonical pattern -- needs manual review to determine correct merge target
CATTARAUGUS-LITTLE VALLEY SCHOOL DISTRICT,NY,17592188431152,Cattaraugus-Little Valley School District,,False,True,False,6,564760,0,0,0,0,564760,Non-canonical pattern -- needs manual review to determine correct merge target
PAGE COUNTY PUBLIC SCHOOLS,VA,17592284312921,Page County Public Schools,,False,True,False,1,522000,1,0,0,0,522000,Non-canonical pattern -- needs manual review to determine correct merge target
GLYNN COUNTY SCHOOL DISTRICT,GA,17592284311022,Glynn County School District,,False,True,False,1,500000,1,0,0,0,500000,Non-canonical pattern -- needs manual review to determine correct merge target
CHARLOTTE-MECKLENBURG SCHOOLS,NC,17592284311318,Charlotte-Mecklenburg Schools,,False,True,False,4,492700,0,0,0,0,492700,Non-canonical pattern -- needs manual review to determine correct merge target
BAMBERG COUNTY SCHOOL DISTRICT,SC,17592284313638,Bamberg County School District,,False,True,False,1,456000,1,0,0,0,456000,Non-canonical pattern -- needs manual review to determine correct merge target
HENRY COUNTY SCHOOLS,GA,17592284312058,Henry County Schools,,False,True,False,4,439471.84,1,0,0,0,439471.84,Non-canonical pattern -- needs manual review to determine correct merge target
SARATOGA SPRINGS CITY SCHOOL DISTRICT,NY,17592297177493,Saratoga Springs City School District,,True,False,False,6,418600,9,210,0,53,418600,Non-canonical pattern -- needs manual review to determine correct merge target
SARATOGA SPRINGS CITY SCHOOL DISTRICT,NY,17592188843596,Saratoga Springs City School District,,False,True,False,6,418600,0,0,0,0,418600,Non-canonical pattern -- needs manual review to determine correct merge target
LEXINGTON-RICHLAND SCHOOL DISTRICT 05,SC,17592284312529,Lexington-Richland School District 05,,False,True,False,2,405000,1,0,0,0,405000,Non-canonical pattern -- needs manual review to determine correct merge target
HERNANDO COUNTY PUBLIC SCHOOLS,FL,17592284314506,Hernando County Public Schools,,False,True,False,1,400000,0,0,0,0,400000,Non-canonical pattern -- needs manual review to determine correct merge target
JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,AR,17592284310905,Jacksonville North Pulaski School District,,False,True,False,1,361500,1,0,0,0,361500,Non-canonical pattern -- needs manual review to determine correct merge target
MONTANA UNIVERSITY SYSTEM,MT,17592188371772,Montana University System,,False,True,False,3,357000,0,0,0,0,357000,Non-canonical pattern -- needs manual review to determine correct merge target
MOLINE-COAL VALLEY SCHOOL DISTRICT,IL,17592284318254,Moline-Coal Valley School District,,False,True,False,1,356000,1,0,0,0,356000,Non-canonical pattern -- needs manual review to determine correct merge target
RANKIN COUNTY SCHOOL DISTRICT,MS,17592284312739,Rankin County School District,,False,True,False,4,350000,1,0,0,0,350000,Non-canonical pattern -- needs manual review to determine correct merge target
EARL MONROE NEW RENAISSANCE BASKETBALL SCHOOL,NY,17592257199938,Earl Monroe New Renaissance Basketball School,,False,True,False,3,328167,1,0,0,0,328167,Non-canonical pattern -- needs manual review to determine correct merge target
BALDWIN COUNTY SCHOOL DISTRICT,GA,17592284319431,Baldwin County School District,,False,True,False,1,324516.97,1,0,0,0,324516.97,Non-canonical pattern -- needs manual review to determine correct merge target
CAROLINE COUNTY PUBLIC SCHOOLS,VA,17592284310952,Caroline County Public Schools,,False,True,False,1,300000,1,0,0,0,300000,Non-canonical pattern -- needs manual review to determine correct merge target
ST LANDRY PRIMARY SCHOOL (DISTRICT),LA,17592284312598,St Landry Primary School (District),,False,True,False,1,300000,1,0,0,0,300000,Non-canonical pattern -- needs manual review to determine correct merge target
SPECIAL SCHOOL DISTRICT OF ST. LOUIS COUNTY,MO,17592284314785,Special School District of St. Louis County,,False,True,False,1,300000,0,0,0,0,300000,Non-canonical pattern -- needs manual review to determine correct merge target
COMMUNITY HIGH SCHOOL DISTRICT 94,IL,17592284318649,Community High School District 94,,False,True,False,1,300000,1,0,0,0,300000,Non-canonical pattern -- needs manual review to determine correct merge target
WATKINS GLEN SCHOOL DISTRICT,NY,17592188523653,Watkins Glen School District,,False,True,False,3,291400,0,0,0,0,291400,Non-canonical pattern -- needs manual review to determine correct merge target
EVANSVILLE-VANDERBURGH SCHOOL CORPORATION,IN,17592284310217,Evansville-Vanderburgh School Corporation,,False,True,False,5,285182.8,1,0,0,0,285182.8,Non-canonical pattern -- needs manual review to determine correct merge target
TWO RIVERS PUBLIC CHARTER SCHOOL,WA,17592238767643,Two Rivers Public Charter School,,True,False,False,7,268910,1,2113,4760,38,273670,Non-canonical pattern -- needs manual review to determine correct merge target
TWO RIVERS PUBLIC CHARTER SCHOOL,WA,17592188843879,Two Rivers Public Charter School,,False,True,False,7,268910,0,0,0,0,268910,Non-canonical pattern -- needs manual review to determine correct merge target
NEENAH JOINT SCHOOL DISTRICT,WI,17592284310159,Neenah Joint School District,,False,True,False,1,256000,1,0,0,0,256000,Non-canonical pattern -- needs manual review to determine correct merge target
BURCH CHARTER SCHOOL OF EXCELLENCE,NJ,17592294767166,Burch Charter School of Excellence,3400724,True,False,True,3,255000,0,0,0,0,255000,Non-canonical pattern -- needs manual review to determine correct merge target
FREDERICK COUNTY PUBLIC SCHOOLS,VA,17592284311170,Frederick County Public Schools,,False,True,False,1,250000,1,0,0,0,250000,Non-canonical pattern -- needs manual review to determine correct merge target
ANCHORAGE SCHOOL DISTRICT,AK,17592284314024,Anchorage School District,,False,True,False,1,250000,1,0,0,0,250000,Non-canonical pattern -- needs manual review to determine correct merge target
