orphaned_account_id,account_name,state,sales_exec,opportunity_count,total_revenue,notes
17592193477406,Williamsburg,SOUTH CAROLINA,Steve Pines,4,734893,No matching valid district found -- needs manual mapping or fuzzy match
17592188843690,LEXINGTON DISTRICT 1(dupe),SOUTH CAROLINA,Steve Pines,10,641984.62,No matching valid district found -- needs manual mapping or fuzzy match
17592295242445,Dayton School District,,Hayley Spira Bauer,1,500000,No matching valid district found -- needs manual mapping or fuzzy match
17592309369554,Virginia Board of Education,,Hayley Spira Bauer,1,500000,No matching valid district found -- needs manual mapping or fuzzy match
17592249809963,Hampton County School District,SOUTH CAROLINA,Melodie Blackwood,2,491220,No matching valid district found -- needs manual mapping or fuzzy match
17592297178162,Paterson Public Schools,,Brooke Fera,2,325000,No matching valid district found -- needs manual mapping or fuzzy match
17592190775328,Islip School District,NEW YORK,Sean Drake,15,276911.24,No matching valid district found -- needs manual mapping or fuzzy match
17592297003457,Kipp Metro Atlanta Schools,,Hayley Spira Bauer,2,250000,No matching valid district found -- needs manual mapping or fuzzy match
17592191693299,Niagara-Wheatfield School District(dupe),NEW YORK,Brooke Fera,10,237301,No matching valid district found -- needs manual mapping or fuzzy match
17592295330103,Globe Unified District,,Hayley Spira Bauer,2,210000,No matching valid district found -- needs manual mapping or fuzzy match
17592188062075,Roosevelt School District,NEW YORK,Paul Sheffield,7,153527.3,No matching valid district found -- needs manual mapping or fuzzy match
17592186930123,Tarrant County College(dupe),TEXAS,Yvette Ramos,6,112474.8,No matching valid district found -- needs manual mapping or fuzzy match
17592296990585,Department of Corrections,,Paul Sheffield,1,100000,No matching valid district found -- needs manual mapping or fuzzy match
17592297177503,Schenectady City School District,,Kris Tedesco,1,100000,No matching valid district found -- needs manual mapping or fuzzy match
17592280524701,Pathways Academy Charter School,TEXAS,Melodie Blackwood,4,92644.57,No matching valid district found -- needs manual mapping or fuzzy match
17592295298834,Fridley Public Schools,,Tony Skauge,1,75000,No matching valid district found -- needs manual mapping or fuzzy match
17592297007199,Elmsford Union Free School District,,Rachel Reynoso,1,65000,No matching valid district found -- needs manual mapping or fuzzy match
17592238766892,Cato-Meridian,NEW YORK,Tracy Walters,10,63785,No matching valid district found -- needs manual mapping or fuzzy match
17592188843640,Alice Drive Middle School,SOUTH CAROLINA,Steve Pines,2,57850,No matching valid district found -- needs manual mapping or fuzzy match
17592295270937,Lancaster County School District 1,,Melodie Blackwood,2,54094.87,No matching valid district found -- needs manual mapping or fuzzy match
17592295280578,Kipp Memphis Collegiate Schools,,Hayley Spira Bauer,1,50000,No matching valid district found -- needs manual mapping or fuzzy match
17592212145126,Warrensburg Central School District(dupe),NEW YORK,Kris Tedesco,3,48328,No matching valid district found -- needs manual mapping or fuzzy match
17592293731213,Fort Yates Public Schools,NORTH DAKOTA,Tony Skauge,1,45000,No matching valid district found -- needs manual mapping or fuzzy match
17592296987277,Crosslake Community Charter School (District),,Tony Skauge,1,45000,No matching valid district found -- needs manual mapping or fuzzy match
17592192018269,Westwood High School,SOUTH CAROLINA,Steve Pines,7,38525,No matching valid district found -- needs manual mapping or fuzzy match
17592295333446,Lake Park Audubon School District,,Tony Skauge,1,35000,No matching valid district found -- needs manual mapping or fuzzy match
17592294633713,Shade Canyon School,OREGON,Monica Sherwood,2,33007.76,No matching valid district found -- needs manual mapping or fuzzy match
17592297007449,NYC Dept of Education,,Paul Sheffield,1,30000,No matching valid district found -- needs manual mapping or fuzzy match
17592246338366,New York City Department of Education,NEW YORK,Paul Sheffield,2,24999,No matching valid district found -- needs manual mapping or fuzzy match
17592297177368,Fort Plain Central School District,,Kris Tedesco,1,24033.9,No matching valid district found -- needs manual mapping or fuzzy match
17592297177420,Highland Falls-Fort Montgomery Central School District,,Kris Tedesco,1,20000,No matching valid district found -- needs manual mapping or fuzzy match
17592284319646,Lemont Township High School District 210(dupe),ILLINOIS,Mike O'Donnell,1,17679.99,No matching valid district found -- needs manual mapping or fuzzy match
17592295285398,Groton School District,,Brooke Fera,1,17000,No matching valid district found -- needs manual mapping or fuzzy match
17592297177395,Jamesville-Dewitt Central School District,,Mike O'Donnell,1,15000,No matching valid district found -- needs manual mapping or fuzzy match
17592295357235,Invent Learning Hub (District),,Mike O'Donnell,1,6116,No matching valid district found -- needs manual mapping or fuzzy match
17592295298301,Chester Academy,NEW HAMPSHIRE,Kris Tedesco,1,5001,No matching valid district found -- needs manual mapping or fuzzy match
17592188120882,Fullmind Demo QA,NEW YORK,Kamal Balu,1,1,No matching valid district found -- needs manual mapping or fuzzy match
17592295667915,Sierra City Charter School for Extraordinary Children ,,Sierra Arcega,1,1,No matching valid district found -- needs manual mapping or fuzzy match
17592186838444,Fullmind Test School,NEW YORK,Cory Shaw,2,0,No matching valid district found -- needs manual mapping or fuzzy match
17592250366426,Itutor Test school,NEW YORK,Patrick Scianna,2,0,No matching valid district found -- needs manual mapping or fuzzy match
17592295229200,Nazareth Preparatory,,Paul Sheffield,1,0,No matching valid district found -- needs manual mapping or fuzzy match
