nces_id,district_name,state,similarity_score,name_variants,notes
60225000099,Alta Dutch Flat Elementary,CA,0.5,"Alta Dutch Flat Elementary (from districts, count=1); Alta-Dutch Flat Union Elementary School District (from opportunities, count=1)",Same NCES ID but different names used -- standardize account naming
3680820,Eastern Suffolk BOCES,NY,0.5,"Eastern Suffolk BOCES (from districts, count=1); Island Trees School District (from opportunities, count=4)",Same NCES ID but different names used -- standardize account naming
17592292316429,Highland Falls-Fort Montgomery CSD,NY,0.5,"Highland Falls-Fort Montgomery CSD (from districts, count=1); Highland Falls-Fort Montgomery Central School District (from opportunities, count=4)",Same NCES ID but different names used -- standardize account naming
5500083,One City Schools,WI,0.5,"One City Schools (from districts, count=1); One City schools (from opportunities, count=1)",Same NCES ID but different names used -- standardize account naming
17592296044922,Shade Canyon School District,CA,0.5,"Shade Canyon School District (from districts, count=1); Shade Canyon School (from opportunities, count=2)",Same NCES ID but different names used -- standardize account naming
643170 ,Yuba City Unified School District,CA,0.5,"Yuba City Unified School District (from districts, count=1); Sutter County Superintendent of Schools (from opportunities, count=2)",Same NCES ID but different names used -- standardize account naming
17592271184327,Massena Central School District,NY,0.5,"Massena Central School District (from districts, count=1); Massena School District (from opportunities, count=1)",Same NCES ID but different names used -- standardize account naming
17592238766946 ,East Aurora Union Free,NY,0.5,"East Aurora Union Free (from districts, count=1); East Aurora Union Free School District (from opportunities, count=6)",Same NCES ID but different names used -- standardize account naming
17592246333666 ,Richland County School District 1,SC,0.5,"Richland County School District 1 (from districts, count=1); Westwood High School (from opportunities, count=7)",Same NCES ID but different names used -- standardize account naming
3620850,Niagara - Wheatfield School District,NY,0.5,"Niagara - Wheatfield School District (from districts, count=1); Niagara-Wheatfield School District(dupe) (from opportunities, count=10)",Same NCES ID but different names used -- standardize account naming
4503780,Williamsburg County School District,SC,0.5,"Williamsburg County School District (from districts, count=1); Williamsburg (from opportunities, count=4)",Same NCES ID but different names used -- standardize account naming
17592246338277 ,LEXINGTON DISTRICT 1,SC,0.5,"LEXINGTON DISTRICT 1 (from districts, count=1); LEXINGTON DISTRICT 1(dupe) (from opportunities, count=10)",Same NCES ID but different names used -- standardize account naming
3624990,Roosevelt School District - Active,NY,0.5,"Roosevelt School District - Active (from districts, count=1); Roosevelt School District (from opportunities, count=7)",Same NCES ID but different names used -- standardize account naming
3606690,Cato-Meridian School District,NY,0.5,"Cato-Meridian School District (from districts, count=1); Cato-Meridian (from opportunities, count=10)",Same NCES ID but different names used -- standardize account naming
602250,Alta-Dutch Flat Union Elementary School District,CA,0.5,"Alta-Dutch Flat Union Elementary School District (from districts, count=1); Alta Dutch Flat Elementary (from opportunities, count=1)",Same NCES ID but different names used -- standardize account naming
9999999999,Fullmind Unicorns QA,NY,0.5,"Fullmind Unicorns QA (from districts, count=1); Fullmind Demo QA (from opportunities, count=1)",Same NCES ID but different names used -- standardize account naming
228547,Tarrant County College,TX,0.5,"Tarrant County College (from districts, count=1); Tarrant County College(dupe) (from opportunities, count=6)",Same NCES ID but different names used -- standardize account naming
123456,Sumter School District,SC,0.5,"Sumter School District (from districts, count=1); Alice Drive Middle School (from opportunities, count=2)",Same NCES ID but different names used -- standardize account naming
3629910,Warrensburg Central,NY,0.5,"Warrensburg Central (from districts, count=1); Warrensburg Central School District(dupe) (from opportunities, count=3)",Same NCES ID but different names used -- standardize account naming
17592249522759,Hampton County School District 02,SC,0.5,"Hampton County School District 02 (from districts, count=1); Hampton County School District (from opportunities, count=2)",Same NCES ID but different names used -- standardize account naming
3615540,Islip Union Free School District,NY,0.5,"Islip Union Free School District (from districts, count=1); Islip School District (from opportunities, count=15)",Same NCES ID but different names used -- standardize account naming
